num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,,TZ16_CODE,,TZ16_NAME,Tz16_Area,,,,,,,
14,477278.1014,477278.1014,0,14.29122678,1.49E+00,,14,YES,Sydney CBD_The Rocks_Argyle Centre,20559.55429,0,,,,,,
15,380423.7929,380423.7929,0,26.29969088,2.18E+00,,15,YES,Sydney CBD_Hickson Rd Reserve,20572.76852,0,,,,,,
16,500344.1017,500344.1017,0,0.00010299,1.12E-05,,16,YES,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035,0,,,,,,
17,405817.6646,405817.6646,0,0.00010299,9.10E-06,,17,YES,Sydney Opera House,40824.62043,0,,,,,,
18,445777.7329,445777.7329,0,56.94404446,5.53E+00,,18,YES,Sydney CBD_Kent St_Northern Section,31599.51639,0,,,,,,
19,450878.0229,450878.0229,0,373.1507618,3.66E+01,,19,YES,Sydney CBD_Sydney Observatory,118316.4661,0,,,,,,
20,502288.8218,502288.8218,0,73.75688622,8.07E+00,,20,YES,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912,0,,,,,,
21,541738.3903,541738.3903,0,12.42697009,1.47E+00,,21,YES,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424,0,,,,,,
22,562585.6056,562585.6056,0,0.00010299,1.26E-05,,22,YES,Sydney CBD_Museum of Contemporary Art,20519.07661,0,,,,,,
23,564141.6281,564141.6281,0,312.8469003,3.84E+01,,23,YES,Sydney CBD_Circular Quay East_The Toaster,24003.08412,0,,,,,,
24,498597.9307,498597.9307,0,181.1260925,1.97E+01,,24,YES,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352,0,,,,,,
25,560605.3394,560605.3394,0,7.067088463,8.63E-01,,25,YES,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693,0,,,,,,
26,635493.9824,634663.1488,830.8336,6.464326556,8.94E-01,,26,YES,Sydney CBD_Circular Quay Station-Wharves,27298.33604,43.87571157,,,,,,
27,555934.6265,555934.6265,0,208.3514625,2.52E+01,,27,YES,Sydney CBD_The Rocks_Science House,7229.637676,0,,,,,,
28,568716.8324,568716.8324,0,289.3970132,3.58E+01,,28,YES,Sydney CBD_The Rocks_Cove Apartments,9381.668092,0,,,,,,
29,603337.1555,603337.1555,0,0.642453825,8.44E-02,,29,YES,Sydney CBD_Grosvenor Place,11975.35026,0,,,,,,
30,575646.0563,575646.0563,0,27.62682143,3.46E+00,,30,YES,Sydney CBD_Circular Quay_Herald Square,32090.31857,0,,,,,,
31,586446.7496,586446.7496,0,16.333015,2.09E+00,,31,YES,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832,0,,,,,,
32,598863.0038,598863.0038,0,266.4666687,3.47E+01,,32,YES,Sydney CBD_Circular Quay_Customs House,12695.54135,0,,,,,,
33,602327.1782,601496.3446,830.8336,0.00010299,1.35E-05,,33,YES,Sydney CBD_Circular Quay_AMP Centre,13111.99091,22.23652538,,,,,,
34,600689.885,599859.0514,830.8336,27.43729271,3.59E+00,,34,YES,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246,23.91718934,,,,,,
35,468243.0805,468243.0805,0,13.848952,1.41E+00,,35,YES,Royal Botanic Gardens,431650.5595,0,,,,,,
36,602629.0069,601905.5411,723.4658,0.00010299,1.35E-05,,36,YES,Sydney CBD_Maritime Trade Towers,19950.23797,29.44116373,,,,,,
37,639354.8454,632414.4599,6940.3855,0.00010299,1.43E-05,,37,YES,Sydney CBD_35 Clarence St,12826.76054,172.8287613,,,,,,
38,632077.7021,631246.8685,830.8336,0.642446818,8.84E-02,,38,YES,Sydney CBD_1 York St,7629.562321,12.3291083,,,,,,
39,635331.4396,634500.606,830.8336,0.00010299,1.42E-05,,39,YES,Sydney CBD_AAP Centre,19490.92875,31.33514957,,,,,,
40,655706.6058,654875.7723,830.8335,82.63511608,1.18E+01,,40,YES,Sydney CBD_10 Bond St and 20 Bond St,14572.64988,22.69921478,,,,,,
41,626536.6686,625705.835,830.8336,6.083398538,8.30E-01,,41,YES,Sydney CBD_Royal Exchange Building,7146.816926,11.65128248,,,,,,
42,623863.4689,623032.6353,830.8336,0.00010299,1.40E-05,,42,YES,Sydney CBD_Lands Dept Building_Bridge St,6357.739406,10.40934029,,,,,,
43,619908.0614,613221.0454,6687.016,0.00010299,1.39E-05,,43,YES,Sydney CBD_Department of Education Building,6398.754555,85.66984686,,,,,,
44,629976.3875,623289.3715,6687.016,0.00010299,1.41E-05,,44,YES,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,11622.65432,153.0964746,,,,,,
45,630665.8643,623978.8483,6687.016,179.8712483,2.47E+01,,45,YES,Sydney CBD_ABN Amro Tower_Aurora Place,22184.0785,291.8912761,,,,,,
46,684478.7864,683647.9528,830.8336,92.55002448,1.38E+01,,46,YES,Sydney CBD_The York Apartment Hotel,6129.611467,9.146010778,,,,,,
47,707724.4405,706893.607,830.8335,242.9354251,3.74E+01,,47,YES,Sydney CBD_Metcentre,13887.99946,20.04088353,,,,,,
48,684155.8357,683325.0021,830.8336,12.38459587,1.84E+00,,48,YES,Sydney CBD_Australia Square,13399.92826,20.00352076,,,,,,
49,647009.7458,640322.7299,6687.0159,16.65509752,2.35E+00,,49,YES,Sydney CBD_Radisson Plaza Hotel,12977.67413,166.3977807,,,,,,
50,654925.2181,646642.7264,8282.4917,0.00010299,1.47E-05,,50,YES,Sydney CBD_25 Bligh St,16749.40533,263.3984607,,,,,,
51,644999.3579,636716.8662,8282.4917,14.51982728,2.04E+00,,51,YES,Sydney CBD_Wentworth Hotel,12746.48332,203.5739788,,,,,,
52,663409.1596,654341.8126,9067.347,0.00010299,1.49E-05,,52,YES,Sydney CBD_Chifley Square_Chifley Tower,15234.74128,259.1957489,,,,,,
53,558219.8077,558219.8077,0,0.608113496,7.39E-02,,53,YES,Sydney CBD_King St Wharf_Northern End,29032.55945,0,,,,,,
54,658719.5066,657888.6731,830.8335,1.851264205,2.66E-01,,54,YES,Sydney CBD_Westpac Place,17119.20495,26.543758,,,,,,
55,668261.4011,667430.5675,830.8336,1.110747196,1.62E-01,,55,YES,Sydney CBD_83 Clarence St,10947.03167,16.73098696,,,,,,
56,710656.0795,703969.0635,6687.016,13.10067463,2.03E+00,,56,YES,Sydney CBD_Wynyard Station_York St,12411.30385,144.748284,,,,,,
57,723551.4049,716864.3889,6687.016,49.9156758,7.86E+00,,57,YES,Sydney CBD_Wynyard Station_George St,30102.61628,344.7599633,,,,,,
58,693505.1902,686818.1742,6687.016,0.796847896,1.20E-01,,58,YES,Sydney CBD_Hunter Connection,21693.94338,259.3261507,,,,,,
59,665124.2323,656568.6933,8555.539,0.00010299,1.49E-05,,59,YES,Sydney CBD_QBE Building,10366.01952,165.8427363,,,,,,
60,659034.6986,659034.6986,0,46.75710141,6.71E+00,,60,YES,Sydney CBD_Savings Bank Building,10816.1342,0,,,,,,
61,690369.1647,680583.8254,9785.3393,0.00010299,1.55E-05,,61,YES,Sydney CBD_Colonial Centre_Goodsell Building,9573.43,168.997025,,,,,,
62,665931.7765,655803.6002,10128.1763,91.76152943,1.33E+01,,62,YES,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,14067.41983,266.7406053,,,,,,
63,675235.9992,665915.4592,9320.54,30.11767072,4.43E+00,,63,YES,Sydney CBD_Parliament House_Sydney Hospital,68780.05289,1181.957091,,,,,,
64,279396.8028,279396.8028,0,3.195967297,1.94E-01,,64,YES,Mrs Macquaries Chair,143531.9027,0,,,,,,
65,532611.4329,532611.4329,0,528.3963552,6.13E+01,,65,YES,Sydney CBD_King St Wharf_Southern End,14395.44479,0,,,,,,
66,553286.8459,553286.8459,0,0.00010299,1.24E-05,,66,YES,Sydney CBD_Slip St,16475.59194,0,,,,,,
67,599496.2637,595570.2941,3925.9696,138.8149333,1.81E+01,,67,YES,Sydney CBD_Lumley House,19926.0001,161.2691364,,,,,,
68,631642.5166,624702.1311,6940.3855,0.00010299,1.42E-05,,68,YES,Sydney CBD_Red Cross House,14129.87804,192.7375115,,,,,,
69,650270.4324,649439.5988,830.8336,54.51634872,7.72E+00,,69,YES,Sydney CBD_AWA Building,8170.834637,12.83390839,,,,,,
70,625643.7394,618703.3539,6940.3855,74.44696069,1.01E+01,,70,YES,Barrack St and York St,7780.211811,107.1543415,,,,,,
71,669112.1644,662425.1484,6687.016,0.00010299,1.50E-05,,71,YES,Centenary Square,7520.760436,93.21258096,,,,,,
72,624940.7322,624109.8986,830.8336,0.631209554,8.59E-02,,72,YES,Centenary Square and George,10913.76096,17.83793783,,,,,,
73,650525.2206,643838.2046,6687.016,9.296291089,1.32E+00,,73,YES,Sydney CBD_No.1 Martin Place,24095.53391,307.2623871,,,,,,
74,662484.1817,653928.6428,8555.5389,7.429876834,1.07E+00,,74,YES,MLC Centre Sydney,19218.99924,308.7201718,,,,,,
75,670641.4948,661320.9548,9320.54,0.00010299,1.50E-05,,75,YES,Martin Place and Elizabeth St,10794.63396,186.7901361,,,,,,
76,685540.1809,675412.0045,10128.1764,2.12463254,3.17E-01,,76,YES,Martin Place and Phillip St,9440.499185,173.8099634,,,,,,
77,705803.075,696186.7067,9616.3683,15.48768274,2.38E+00,,77,YES,Martin Place Station,14175.2392,240.3991819,,,,,,
78,559522.715,559522.715,0,0.00010299,1.25E-05,,78,YES,Star City_Pyrmont Bay Ferry Wharf,22341.37156,0,,,,,,
79,539763.7072,539763.7072,0,22.0473012,2.59E+00,,79,YES,Sydney Aquarium,42496.50077,0,,,,,,
80,574816.3201,574092.8542,723.4659,845.0590729,1.06E+02,,80,YES,Allianz Centre,22366.29744,34.60566891,,,,,,
81,602243.4819,601412.6483,830.8336,102.2352226,1.34E+01,,81,YES,King St and Clarence St,15089.06279,25.59298767,,,,,,
82,629057.7184,628226.8848,830.8336,11.77703801,1.61E+00,,82,YES,Westpac Building,16846.33276,27.35395552,,,,,,
83,623132.1412,622301.3076,830.8336,0.631211547,8.56E-02,,83,YES,King St and George St,17061.28475,27.96676913,,,,,,
84,636199.6754,635368.8418,830.8336,23.94850525,3.32E+00,,84,YES,Sydney CBD_Strand Arcade,16576.71142,26.61360721,,,,,,
85,643987.6153,643156.7817,830.8336,0.00010299,1.44E-05,,85,YES,Sydney CBD_Centrepoint,15275.41577,24.2274366,,,,,,
86,673288.3826,664435.1375,8853.2451,1.586547553,2.33E-01,,86,YES,David Jones_Elizabeth Street,12122.55966,198.3176896,,,,,,
87,692244.7671,681737.1961,10507.571,0.00010299,1.55E-05,,87,YES,Law Courts Building Sydney,11853.1391,224.3034492,,,,,,
88,540322.3715,540322.3715,0,440.0987338,5.18E+01,,88,YES,"Darling Harbour_Novotel, Grand Mercure, Ibis",39939.40502,0,,,,,,
89,500885.0621,500885.0621,0,6.419590335,7.00E-01,,89,YES,Harbourside_Darling Harbour,93823.6793,0,,,,,,
90,540831.184,536905.2144,3925.9696,6.116354161,7.20E-01,,90,YES,Cockle Bay Wharf,12729.91793,114.2857656,,,,,,
91,507687.767,507687.767,0,0.00010299,1.14E-05,,91,YES,Cockle Bay Wharf_East,28385.95123,0,,,,,,
92,634479.0881,627792.0721,6687.016,333.1503288,4.60E+01,,92,YES,Market St and Kent St,18947.31594,247.7886787,,,,,,
93,678674.9202,670392.4284,8282.4918,230.0699412,3.40E+01,,93,YES,Market St and Clarence St,12537.29958,190.1748775,,,,,,
94,703827.6986,694974.4536,8853.245,55.34771426,8.48E+00,,94,YES,Market St and York St,15443.30979,241.5412186,,,,,,
95,718007.9724,709154.7273,8853.2451,6.11624361,9.56E-01,,95,YES,Queen Victoria Building,11986.26124,183.7225447,,,,,,
96,712212.5891,703359.3441,8853.245,45.55049807,7.06E+00,,96,YES,Sydney CBD_Galeries Victoria,28064.59261,433.7117533,,,,,,
97,666669.8852,659982.8692,6687.016,15.50459424,2.25E+00,,97,YES,Piccadilly Arcade,28769.26751,357.886842,,,,,,
98,679483.7017,672796.6858,6687.0159,53.49065266,7.91E+00,,98,YES,Sheraton On The Park,19184.57676,234.1089206,,,,,,
99,580554.1891,579723.3555,830.8336,25.07363012,3.17E+00,,99,YES,St. Mary's Cathedral,20220.24647,35.57926131,,,,,,
100,540474.5455,539643.7119,830.8336,17.63874771,2.08E+00,,100,YES,Art Gallery Of NSW,186788.4385,353.0808391,,,,,,
101,635904.808,629217.792,6687.016,135.3819332,1.87E+01,,101,YES,Darling Harbour_Crown Plaza Hotel,15834.87293,206.6156331,,,,,,
102,651259.6334,642977.1416,8282.4918,287.0059773,4.07E+01,,102,YES,Druitt St and Kent St,13826.33208,218.6702453,,,,,,
103,748168.8826,738848.3426,9320.54,40.31551903,6.57E+00,,103,YES,Sydney CBD_Sydney Town Hall,26694.84618,413.457069,,,,,,
104,783075.6078,774605.9852,8469.6226,51.9605084,8.86E+00,,104,YES,Town Hall Station,16072.83088,215.7708704,,,,,,
105,757602.0628,748468.6536,9133.4092,765.564986,1.26E+02,,105,YES,Sydney CBD_Defence Plaza,14487.8945,217.061001,,,,,,
106,716040.1843,709353.1683,6687.016,0.00010299,1.61E-05,,106,YES,Park St and Elizabeth St,9942.012928,115.0698113,,,,,,
107,688672.8651,681985.8491,6687.016,18.86468334,2.83E+00,,107,YES,St James Station,193075.4495,2324.348698,,,,,,
108,479547.3153,479547.3153,0,3.8538967,4.02E-01,,108,YES,Exhibition Centre_Darling Harbour,150505.3481,0,,,,,,
109,606983.1723,606152.3387,830.8336,1615.752238,2.14E+02,,109,YES,Millennium Towers,22973.25763,38.66091043,,,,,,
110,644070.2886,635787.7968,8282.4918,2041.139664,2.86E+02,,110,YES,Bathurst St and Kent St,20750.75601,331.8944411,,,,,,
111,713845.0999,705289.561,8555.5389,819.0363561,1.27E+02,,111,YES,Greater Union Cinema Centre,22793.48345,339.4750368,,,,,,
112,755612.9409,746292.4009,9320.54,0.00010299,1.69E-05,,112,YES,Bathurst St and Pitt St,11404.28474,174.8708154,,,,,,
113,708082.5531,699229.3081,8853.245,725.5933355,1.12E+02,,113,YES,Wilmot St and Pitt St,5237.621604,81.42058274,,,,,,
114,654481.9019,646199.4101,8282.4918,97.40837708,1.39E+01,,114,YES,Court Of Petty Sessions,15263.08821,240.1895448,,,,,,
115,686653.5246,679966.5086,6687.016,543.2621322,8.12E+01,,115,YES,Bathurst St and Castlereagh St,21789.64453,263.0947688,,,,,,
116,701951.4418,695264.4258,6687.016,191.8006225,2.93E+01,,116,YES,Bathurst St and Elizabeth St,15744.04239,185.9155997,,,,,,
117,585592.827,584761.9934,830.8336,1096.877077,1.40E+02,,117,YES,Liverpool St and Sussex,19668.80926,34.31074991,,,,,,
118,638959.4241,632272.4081,6687.016,1537.346575,2.14E+02,,118,YES,Liverpool St and George,19684.19281,255.6012482,,,,,,
119,670299.8816,663612.8656,6687.016,1733.533719,2.53E+02,,119,YES,World Square Sydney,26149.04053,323.5121166,,,,,,
120,664417.1952,663586.3616,830.8336,402.6870641,5.83E+01,,120,YES,Masonic Centre,16347.60654,25.12974052,,,,,,
121,680067.6738,679236.8402,830.8336,0.00010299,1.53E-05,,121,YES,Sydney CBD_Downing Centre,10757.60982,16.15570204,,,,,,
122,675115.9382,668175.5527,6940.3855,725.7637604,1.07E+02,,122,YES,Liverpool St and Nithsdale St,13472.45923,171.8134339,,,,,,
123,626318.1718,626318.1718,0,267.1532931,3.64E+01,,123,YES,Liverpool St and Commonweath St,15796.49971,0,,,,,,
124,614657.8192,614657.8192,0,616.9085712,8.26E+01,,124,YES,Liverpool St and Wentworth St,10162.97601,0,,,,,,
125,549709.1881,549709.1881,0,32.23551107,3.86E+00,,125,YES,Entertainment Centre,53119.8559,0,,,,,,
126,584714.8915,577774.506,6940.3855,124.2987941,1.58E+01,,126,YES,Holiday Inn_Chinatown,14490.35532,213.7083453,,,,,,
127,617877.7134,617046.8799,830.8335,26.36346757,3.55E+00,,127,YES,Sussex Centre_Chinatown,8467.153021,13.99749996,,,,,,
128,644598.8753,637911.8593,6687.016,2.925833985,4.11E-01,,128,YES,Little Hay St and Sussex St_Chinatown,5928.615293,76.30310023,,,,,,
129,661434.4344,654747.4184,6687.016,47.58518228,6.85E+00,,129,YES,Goulburn St and George St,14109.95469,176.9299743,,,,,,
130,645977.6749,639290.6589,6687.016,988.8130299,1.39E+02,,130,YES,Scruffy Murphys,22704.04237,291.5777765,,,,,,
131,616418.236,616418.236,0,3289.806615,4.42E+02,,131,YES,Regis Tower,18089.7868,0,,,,,,
132,642089.0193,642089.0193,0,29.92842902,4.18E+00,,132,YES,Goulburn St and Wentworth St,20109.46225,0,,,,,,
133,651996.6407,645309.6247,6687.016,8.728155037,1.24E+00,,133,YES,Capitol Square,11803.27491,150.1702728,,,,,,
134,678085.5619,677362.096,723.4659,38.0301172,5.61E+00,,134,YES,Sydney CBD_Belmore Park,63159.93173,82.82397211,,,,,,
135,618693.0621,617862.2285,830.8336,981.5520766,1.32E+02,,135,YES,Paddys Market,19807.01643,32.70082389,,,,,,
136,487476.476,487476.476,0,681.8316237,7.24E+01,,136,YES,UTS_Ultimo_East,37750.69755,0,,,,,,
137,618693.0621,617862.2285,830.8336,0.405635506,5.46E-02,,137,YES,Hay St and George St,6217.884181,10.26555091,,,,,,
138,690760.3982,684073.3822,6687.016,10.63032909,1.60E+00,,138,YES,Central Square MLR Stop,6141.059324,73.70385279,,,,,,
139,662109.0068,661278.1732,830.8336,0.00010299,1.48E-05,,139,YES,Parker St and Hay St,4997.040586,7.708324126,,,,,,
140,624075.2142,617134.8287,6940.3855,0.00010299,1.40E-05,,140,YES,Sydney CBD_Sydney Central Building,10195.43286,140.7752909,,,,,,
141,588073.7831,588073.7831,0,15.2984667,1.96E+00,,141,YES,Ultimo St and Hay St,8099.011109,0,,,,,,
142,655561.5698,654730.7362,830.8336,365.1748832,5.21E+01,,142,YES,Ultimo St and George St,22076.00184,34.39449772,,,,,,
143,698331.6204,691644.6044,6687.016,0.00010299,1.57E-05,,143,YES,Sydney CBD_McKell Building,6937.284639,82.34857927,,,,,,
144,589337.8661,589337.8661,0,1119.399227,1.44E+02,,144,YES,Sydney TAFE,26313.20257,0,,,,,,
145,701774.527,695087.511,6687.016,56.6822071,8.66E+00,,145,YES,Rawson St and Pitt St,14492.18868,171.1764771,,,,,,
146,757978.7106,757147.877,830.8336,140.1721887,2.31E+01,,146,YES,Central Station,133134.5415,179.3664932,,,,,,
147,16745.5369,16745.5369,0,0.00010299,3.76E-07,,147,YES,Goat Island,64184.28731,0,,,,,,
148,83546.30351,83546.30351,0,0.00010299,1.87E-06,,148,YES,Fort Denison,4123.15218,0,,,,,,
149,528047.9274,528047.9274,0,802.8836932,9.23E+01,,149,YES,Sydney CBD_Jenkins St,17113.30218,0,,,,,,
150,521584.0769,521584.0769,0,0.00010299,1.17E-05,,150,YES,Sydney CBD_King St Wharf_Southern End,12229.09607,0,,,,,,
151,432159.6406,432159.6406,0,401.8165556,3.78E+01,,151,YES,Pyrmont_Darling Island,112076.02,0,,,,,,
152,407131.117,407131.117,0,3737.743639,3.31E+02,,152,YES,John St Square MLR,190243.6129,0,,,,,,
153,478992.022,478992.022,0,1510.146795,1.57E+02,,153,YES,Fish Markets MLR,170909.7133,0,,,,,,
154,577520.0185,577520.0185,0,1559.560076,1.96E+02,,154,YES,Hardwood St,35693.56715,0,,,,,,
155,507464.4423,507464.4423,0,943.8032282,1.04E+02,,155,YES,Experiment St,26340.36787,0,,,,,,
156,461071.7162,461071.7162,0,3633.875283,3.65E+02,,156,YES,Wentworth Park MLR,128912.9083,0,,,,,,
157,428680.8886,428680.8886,0,3800.730356,3.55E+02,,157,YES,Powerhouse Museum Ultimo,216002.2913,0,,,,,,
158,402037.0128,402037.0128,0,3283.296511,2.87E+02,,158,YES,Broadway Shopping Centre_Glebe_Mountain St and Small St,127790.3181,0,,,,,,
159,491875.3943,491875.3943,0,1500.507026,1.61E+02,,159,YES,UTS_Ultimo_West,186450.6843,0,,,,,,
160,552867.9127,552867.9127,0,875.2958609,1.05E+02,,160,YES,ABC Ultimo Centre,24653.01667,0,,,,,,
161,685591.65,676738.405,8853.245,106.3106535,1.59E+01,,161,YES,Sydney CBD_Perpetual Trustee Building,13745.71999,220.7833811,,,,,,
162,670766.2035,664079.1875,6687.016,156.4057365,2.28E+01,,162,YES,Sydney CBD_Myer Building,10138.71448,125.3466159,,,,,,
163,102828.5062,102828.5062,0,4206.023084,9.42E+01,,163,YES,Garden Island,381186.0623,0,,,,,,
164,245372.5065,245372.5065,0,400.996756,2.14E+01,,164,YES,The Finger Wharf Apartments,52090.21364,0,,,,,,
165,395553.077,394722.2434,830.8336,1920.097246,1.65E+02,,165,YES,Woolloomooloo_Dowling St and Nesbitt St,151331.1847,391.0822551,,,,,,
166,284018.7178,277078.3322,6940.3856,1941.237516,1.20E+02,,166,YES,St Vincents Catholic College,86089.02352,2647.561424,,,,,,
167,189340.1764,185414.2069,3925.9695,3317.857257,1.37E+02,,167,YES,Elizabeth Bay House,170159.0173,4423.602654,,,,,,
168,548999.2747,548999.2747,0,962.3629579,1.15E+02,,168,YES,Cook and Phillip Park,91441.36857,0,,,,,,
169,477833.5647,477002.7311,830.8336,988.023129,1.03E+02,,169,YES,East Sydney High School,84997.09303,181.7667686,,,,,,
170,500669.7972,489271.7854,11398.0118,1398.124242,1.52E+02,,170,YES,Kings Cross Station,102648.539,2935.95186,,,,,,
171,545214.6342,532755.7931,12458.8411,2755.475013,3.27E+02,,171,YES,Kingsgate Shopping Centre,99450.84371,2855.453982,,,,,,
172,461876.363,450180.6451,11695.7179,855.8816531,8.61E+01,,172,YES,El Alamein Fountain,32089.49261,1023.576115,,,,,,
173,321473.393,320642.5594,830.8336,4026.921145,2.82E+02,,173,YES,St Luke's Hospital,205467.0947,653.6607274,,,,,,
174,656828.6542,648546.1624,8282.4918,0.00010299,1.47E-05,,174,YES,Sydney CBD_Sky Garden,8448.473521,132.4694081,,,,,,
175,481915.2808,481084.4472,830.8336,416.7384014,4.37E+01,,175,YES,National Art School,54079.37649,114.6678417,,,,,,
176,592949.8239,586009.4383,6940.3856,396.9347117,5.12E+01,,176,YES,Australian Museum Darlinghurst,44556.35581,647.8968677,,,,,,
177,614430.5337,614430.5337,0,431.3345821,5.77E+01,,177,YES,Darlinghurst_College La and Francis St,7837.562081,0,,,,,,
178,543579.9625,543579.9625,0,1694.388197,2.01E+02,,178,YES,SCEGGS_Darlinghurst,150101.8937,0,,,,,,
179,506064.2356,494666.2238,11398.0118,2088.573095,2.30E+02,,179,YES,Darlinghurst Rd and William St,103746.9977,2935.010168,,,,,,
180,394690.5492,388003.5332,6687.016,3215.932292,2.76E+02,,180,YES,Belvedere Bridge Darlinghurst,195724.3838,4141.511237,,,,,,
181,554074.3813,554074.3813,0,154.03312,1.86E+01,,181,YES,Marriott Hotel,8356.217782,0,,,,,,
182,526005.2064,520149.024,5856.1824,1785.965084,2.05E+02,,182,YES,St Vincent's Caritas Centre,96565.14795,1334.825348,,,,,,
183,420738.1013,419907.2677,830.8336,559.8478427,5.13E+01,,183,YES,St Vincent's Hospital,109892.8645,266.9607303,,,,,,
184,537012.9462,531156.7638,5856.1824,733.0218813,8.57E+01,,184,YES,Darlinghurst_Little Oxford St and Crown St,37771.28775,511.2942376,,,,,,
185,441353.1774,441353.1774,0,765.2307928,7.35E+01,,185,YES,Paddington_Flinders St and Taylor St,46879.10725,0,,,,,,
186,404581.5077,404581.5077,0,1401.717228,1.23E+02,,186,YES,Darling Island_Pyremont Park,142837.3689,0,,,,,,
187,531248.2825,531248.2825,0,463.5074394,5.36E+01,,187,YES,City Star Casino,126462.5923,0,,,,,,
188,579759.6883,579759.6883,0,2082.78879,2.63E+02,,188,YES,Oxford Square,47579.91999,0,,,,,,
189,573563.6181,573563.6181,0,335.5002462,4.19E+01,,189,YES,Goulburn St and Brisbane St,29150.99879,0,,,,,,
190,532768.243,532768.243,0,18.65157149,2.16E+00,,190,YES,Sydney Police Centre,30316.65012,0,,,,,,
191,514073.0498,514073.0498,0,276.4288708,3.09E+01,,191,YES,Darlinghurst_Lower Darling St,10865.46848,0,,,,,,
192,643873.6323,643873.6323,0,779.0516504,1.09E+02,,192,YES,Campbell St and Mary St,27883.46256,0,,,,,,
193,539487.0398,539487.0398,0,1397.851554,1.64E+02,,193,YES,Campbell St and Riley St,87823.02853,0,,,,,,
194,746118.0805,745287.2469,830.8336,0.058064883,9.43E-03,,194,YES,Centennial Plaza,19079.8743,26.11458321,,,,,,
195,617195.2054,617195.2054,0,768.4921023,1.03E+02,,195,YES,Albion St and Riley St,61938.17188,0,,,,,,
196,439019.6337,439019.6337,0,2570.008504,2.46E+02,,196,YES,Albion St and Flinders St,200637.2489,0,,,,,,
197,745715.7704,744884.9369,830.8335,596.508066,9.69E+01,,197,YES,United Dental Hospital Of Sydney,48153.17301,65.94273336,,,,,,
198,609018.9687,608295.5029,723.4658,1190.290257,1.58E+02,,198,YES,News Ltd,107285.5227,156.6613084,,,,,,
199,419798.5096,419798.5096,0,2572.946921,2.35E+02,,199,YES,Bourke St and Arthur St,207204.5252,0,,,,,,
200,630542.2771,629711.4435,830.8336,19.59265067,2.69E+00,,200,YES,Prince Alfred Park,90732.58601,146.9782198,,,,,,
201,581606.7576,580883.2917,723.4659,3319.60921,4.20E+02,,201,YES,Strawberry Hills_Elizabeth St and Belvoir St,190652.9734,291.5345237,,,,,,
202,415699.413,415699.413,0,1818.221543,1.65E+02,,202,YES,Bourke St and Mort St,154619.2077,0,,,,,,
205,563691.9419,563691.9419,0,1176.268199,1.44E+02,,205,YES,Lee St_Sydney,32822.56965,0,,,,,,
206,470594.7031,470594.7031,0,3788.913002,3.88E+02,,206,YES,CUB Site Chippendale_North,67788.95451,0,,,,,,
