source_path,package_path,decision,role,rationale,source_bytes
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Financial_Analysis.ipynb,code/notebooks_as_py/financial_analysis.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,407008
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Property_data_NSW.ipynb,code/notebooks_stripped/Property_data_NSW.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,324698
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Property_data_NSW.ipynb,code/notebooks_as_py/property_data_nsw.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,324698
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Property_data_NSW_V2.ipynb,code/notebooks_stripped/Property_data_NSW_V2.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,135007
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Property_data_NSW_V2.ipynb,code/notebooks_as_py/property_data_nsw_v2.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,135007
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Simple Regression.ipynb,code/notebooks_stripped/Simple Regression.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,77253
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Simple Regression.ipynb,code/notebooks_as_py/simple_regression.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,77253
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 1974 Proposal.ipynb,code/notebooks_stripped/THESISCODE 1974 Proposal.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67991718
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 1974 Proposal.ipynb,code/notebooks_as_py/thesiscode_1974_proposal.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67991718
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2001 Proposal.ipynb,code/notebooks_stripped/THESISCODE 2001 Proposal.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67990040
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2001 Proposal.ipynb,code/notebooks_as_py/thesiscode_2001_proposal.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67990040
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2016 Base.ipynb,code/notebooks_stripped/THESISCODE 2016 Base.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67855753
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2016 Base.ipynb,code/notebooks_as_py/thesiscode_2016_base.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67855753
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2017 Base.ipynb,code/notebooks_stripped/THESISCODE 2017 Base.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67863925
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2017 Base.ipynb,code/notebooks_as_py/thesiscode_2017_base.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67863925
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2018 Base.ipynb,code/notebooks_stripped/THESISCODE 2018 Base.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67864050
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2018 Base.ipynb,code/notebooks_as_py/thesiscode_2018_base.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67864050
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2019 Base.ipynb,code/notebooks_stripped/THESISCODE 2019 Base.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67848024
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2019 Base.ipynb,code/notebooks_as_py/thesiscode_2019_base.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67848024
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056Metro-Stage2.ipynb,code/notebooks_stripped/THESISCODE 2056Metro-Stage2.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67845887
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056Metro-Stage2.ipynb,code/notebooks_as_py/thesiscode_2056metro_stage2.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67845887
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056Metro.ipynb,code/notebooks_stripped/THESISCODE 2056Metro.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67856342
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056Metro.ipynb,code/notebooks_as_py/thesiscode_2056metro.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67856342
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056Metro_v2.ipynb,code/notebooks_stripped/THESISCODE 2056Metro_v2.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67991674
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056Metro_v2.ipynb,code/notebooks_as_py/thesiscode_2056metro_v2.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67991674
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056_alternate_metro.ipynb,code/notebooks_stripped/THESISCODE 2056_alternate_metro.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67999666
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE 2056_alternate_metro.ipynb,code/notebooks_as_py/thesiscode_2056_alternate_metro.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67999666
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged-sydenham and malabar.ipynb,code/notebooks_stripped/THESISCODE Bradfield Proposal Staged-sydenham and malabar.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68059270
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged-sydenham and malabar.ipynb,code/notebooks_as_py/thesiscode_bradfield_proposal_staged_sydenham_and_malabar.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68059270
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged.ipynb,code/notebooks_stripped/THESISCODE Bradfield Proposal Staged.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68057562
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged.ipynb,code/notebooks_as_py/thesiscode_bradfield_proposal_staged.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68057562
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged_malabar.ipynb,code/notebooks_stripped/THESISCODE Bradfield Proposal Staged_malabar.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68030103
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged_malabar.ipynb,code/notebooks_as_py/thesiscode_bradfield_proposal_staged_malabar.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68030103
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged_vaucluse.ipynb,code/notebooks_stripped/THESISCODE Bradfield Proposal Staged_vaucluse.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68002825
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal Staged_vaucluse.ipynb,code/notebooks_as_py/thesiscode_bradfield_proposal_staged_vaucluse.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68002825
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal.ipynb,code/notebooks_stripped/THESISCODE Bradfield Proposal.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68048517
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Bradfield Proposal.ipynb,code/notebooks_as_py/thesiscode_bradfield_proposal.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68048517
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-Coogee.ipynb,code/notebooks_stripped/THESISCODE Lightrail-Coogee.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68017496
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-Coogee.ipynb,code/notebooks_as_py/thesiscode_lightrail_coogee.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68017496
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-Coogee_altmetro.ipynb,code/notebooks_stripped/THESISCODE Lightrail-Coogee_altmetro.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68024352
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-Coogee_altmetro.ipynb,code/notebooks_as_py/thesiscode_lightrail_coogee_altmetro.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68024352
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-OxfordSt.ipynb,code/notebooks_stripped/THESISCODE Lightrail-OxfordSt.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67886519
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-OxfordSt.ipynb,code/notebooks_as_py/thesiscode_lightrail_oxfordst.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67886519
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-extensive.ipynb,code/notebooks_stripped/THESISCODE Lightrail-extensive.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67926883
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail-extensive.ipynb,code/notebooks_as_py/thesiscode_lightrail_extensive.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67926883
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail.ipynb,code/notebooks_stripped/THESISCODE Lightrail.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,22543287
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail.ipynb,code/notebooks_as_py/thesiscode_lightrail.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,22543287
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail_plus_altmetro.ipynb,code/notebooks_stripped/THESISCODE Lightrail_plus_altmetro.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,68000167
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Lightrail_plus_altmetro.ipynb,code/notebooks_as_py/thesiscode_lightrail_plus_altmetro.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,68000167
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Mills Plan.ipynb,code/notebooks_stripped/THESISCODE Mills Plan.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67876380
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Mills Plan.ipynb,code/notebooks_as_py/thesiscode_mills_plan.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67876380
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Mills Plan_metro.ipynb,code/notebooks_stripped/THESISCODE Mills Plan_metro.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67998249
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Mills Plan_metro.ipynb,code/notebooks_as_py/thesiscode_mills_plan_metro.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67998249
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Mills Plan_metro_v2.ipynb,code/notebooks_stripped/THESISCODE Mills Plan_metro_v2.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,22542501
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Mills Plan_metro_v2.ipynb,code/notebooks_as_py/thesiscode_mills_plan_metro_v2.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,22542501
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Millsv2.ipynb,code/notebooks_stripped/THESISCODE Millsv2.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67850810
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Millsv2.ipynb,code/notebooks_as_py/thesiscode_millsv2.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67850810
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Sydney Metro West edit.ipynb,code/notebooks_stripped/THESISCODE Sydney Metro West edit.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,67818738
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/THESISCODE Sydney Metro West edit.ipynb,code/notebooks_as_py/thesiscode_sydney_metro_west_edit.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,67818738
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/lva_1974.ipynb,code/notebooks_stripped/lva_1974.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,70813
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/lva_1974.ipynb,code/notebooks_as_py/lva_1974.py,included_export,analysis_code_python_export,Plain Python export added to make the notebook code searchable and diffable.,70813
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/lva_2001.ipynb,code/notebooks_stripped/lva_2001.ipynb,included_stripped,analysis_code_notebook,Notebook code retained while bulky execution outputs are removed for a reviewable public GitHub package.,212921
