num_opportunities,Base 30 Mins,Base 45 Mins,Base 60 Mins,ERP_2016,TZ16_CODE,,TZ16_NAME,Tz16_Area,SA2_Name16
90,536905.2144,978755.5809,1357029.52,6.116354161,90,YES,Cockle Bay Wharf,12729.91793,Sydney - Haymarket - The Rocks
91,507687.767,941994.5848,1336454.125,0.00010299,91,YES,Cockle Bay Wharf_East,28385.95123,Sydney - Haymarket - The Rocks
92,627792.0721,1066481.791,1439412.078,333.1503288,92,YES,Market St and Kent St,18947.31594,Sydney - Haymarket - The Rocks
93,670392.4284,1110217.61,1503735.468,230.0699412,93,YES,Market St and Clarence St,12537.29958,Sydney - Haymarket - The Rocks
94,694974.4536,1127144.403,1508664.743,55.34771426,94,YES,Market St and York St,15443.30979,Sydney - Haymarket - The Rocks
95,709154.7273,1158650.752,1536501.467,6.11624361,95,YES,Queen Victoria Building,11986.26124,Sydney - Haymarket - The Rocks
96,703359.3441,1127704.296,1500351.817,45.55049807,96,YES,Sydney CBD_Galeries Victoria,28064.59261,Sydney - Haymarket - The Rocks
97,659982.8692,1110761.828,1479301.534,15.50459424,97,YES,Piccadilly Arcade,28769.26751,Sydney - Haymarket - The Rocks
98,672796.6858,1135278.43,1479775.085,53.49065266,98,YES,Sheraton On The Park,19184.57676,Sydney - Haymarket - The Rocks
99,579723.3555,975062.1668,1368198.202,25.07363012,99,YES,St. Mary's Cathedral,20220.24647,Sydney - Haymarket - The Rocks
100,539643.7119,936152.218,1327589.437,17.63874771,100,YES,Art Gallery Of NSW,186788.4385,Sydney - Haymarket - The Rocks
101,629217.792,1046674.302,1429219.131,135.3819332,101,YES,Darling Harbour_Crown Plaza Hotel,15834.87293,Sydney - Haymarket - The Rocks
102,642977.1416,1093102.549,1464864.883,287.0059773,102,YES,Druitt St and Kent St,13826.33208,Sydney - Haymarket - The Rocks
103,738848.3426,1185230.487,1552085.429,40.31551903,103,YES,Sydney CBD_Sydney Town Hall,26694.84618,Sydney - Haymarket - The Rocks
104,774605.9852,1185163.237,1567817.226,51.9605084,104,YES,Town Hall Station,16072.83088,Sydney - Haymarket - The Rocks
105,748468.6536,1201405.094,1543798.993,765.564986,105,YES,Sydney CBD_Defence Plaza,14487.8945,Sydney - Haymarket - The Rocks
106,709353.1683,1132742.759,1490605.067,0.00010299,106,YES,Park St and Elizabeth St,9942.012928,Sydney - Haymarket - The Rocks
107,681985.8491,1070963.461,1450881.403,18.86468334,107,YES,St James Station,193075.4495,Sydney - Haymarket - The Rocks
108,479547.3153,854858.904,1276790.477,3.8538967,108,YES,Exhibition Centre_Darling Harbour,150505.3481,Sydney - Haymarket - The Rocks
109,606152.3387,1019048.326,1396045.555,1615.752238,109,YES,Millennium Towers,22973.25763,Sydney - Haymarket - The Rocks
110,635787.7968,1079069.145,1462937.973,2041.139664,110,YES,Bathurst St and Kent St,20750.75601,Sydney - Haymarket - The Rocks
111,705289.561,1147428.45,1525919.523,819.0363561,111,YES,Greater Union Cinema Centre,22793.48345,Sydney - Haymarket - The Rocks
112,746292.4009,1176071.172,1547424.129,0.00010299,112,YES,Bathurst St and Pitt St,11404.28474,Sydney - Haymarket - The Rocks
113,699229.3081,1121621.266,1493192.194,725.5933355,113,YES,Wilmot St and Pitt St,5237.621604,Sydney - Haymarket - The Rocks
114,646199.4101,1090699.76,1462140.985,97.40837708,114,YES,Court Of Petty Sessions,15263.08821,Sydney - Haymarket - The Rocks
115,679966.5086,1062495.635,1441018.446,543.2621322,115,YES,Bathurst St and Castlereagh St,21789.64453,Sydney - Haymarket - The Rocks
116,695264.4258,1082534.106,1459050.015,191.8006225,116,YES,Bathurst St and Elizabeth St,15744.04239,Sydney - Haymarket - The Rocks
117,584761.9934,977111.7454,1348966.636,1096.877077,117,YES,Liverpool St and Sussex,19668.80926,Sydney - Haymarket - The Rocks
118,632272.4081,1036030.019,1418951.097,1537.346575,118,YES,Liverpool St and George,19684.19281,Sydney - Haymarket - The Rocks
119,663612.8656,1038420.978,1421717.565,1733.533719,119,YES,World Square Sydney,26149.04053,Sydney - Haymarket - The Rocks
120,663586.3616,1015359.84,1405286.09,402.6870641,120,YES,Masonic Centre,16347.60654,Sydney - Haymarket - The Rocks
121,679236.8402,1059976.821,1451094.687,0.00010299,121,YES,Sydney CBD_Downing Centre,10757.60982,Sydney - Haymarket - The Rocks
122,668175.5527,1031419.366,1433666.771,725.7637604,122,YES,Liverpool St and Nithsdale St,13472.45923,Sydney - Haymarket - The Rocks
123,626318.1718,978561.1529,1386317.465,267.1532931,123,YES,Liverpool St and Commonweath St,15796.49971,Sydney - Haymarket - The Rocks
124,614657.8192,960189.3779,1355654.39,616.9085712,124,YES,Liverpool St and Wentworth St,10162.97601,Sydney - Haymarket - The Rocks
125,549709.1881,933838.6197,1327194.198,32.23551107,125,YES,Entertainment Centre,53119.8559,Sydney - Haymarket - The Rocks
126,577774.506,942037.4607,1333285.613,124.2987941,126,YES,Holiday Inn_Chinatown,14490.35532,Sydney - Haymarket - The Rocks
127,617046.8799,1016686.696,1382263.262,26.36346757,127,YES,Sussex Centre_Chinatown,8467.153021,Sydney - Haymarket - The Rocks
128,637911.8593,1033739.204,1395808.269,2.925833985,128,YES,Little Hay St and Sussex St_Chinatown,5928.615293,Sydney - Haymarket - The Rocks
129,654747.4184,1057052.691,1432855.552,47.58518228,129,YES,Goulburn St and George St,14109.95469,Sydney - Haymarket - The Rocks
130,639290.6589,1034202.718,1405441.311,988.8130299,130,YES,Scruffy Murphys,22704.04237,Sydney - Haymarket - The Rocks
131,616418.236,993193.0193,1404673.152,3289.806615,131,YES,Regis Tower,18089.7868,Sydney - Haymarket - The Rocks
132,642089.0193,990589.4463,1408307.291,29.92842902,132,YES,Goulburn St and Wentworth St,20109.46225,Sydney - Haymarket - The Rocks
133,645309.6247,1041246.244,1426175.077,8.728155037,133,YES,Capitol Square,11803.27491,Sydney - Haymarket - The Rocks
134,677362.096,1089775.298,1473526.069,38.0301172,134,YES,Sydney CBD_Belmore Park,63159.93173,Sydney - Haymarket - The Rocks
135,617862.2285,1006591.963,1401314.795,981.5520766,135,YES,Paddys Market,19807.01643,Sydney - Haymarket - The Rocks
136,487476.476,868819.541,1271853.504,681.8316237,136,YES,UTS_Ultimo_East,37750.69755,Sydney - Haymarket - The Rocks
137,617862.2285,1006828.188,1403728.762,0.405635506,137,YES,Hay St and George St,6217.884181,Sydney - Haymarket - The Rocks
138,684073.3822,1065427.61,1445122.47,10.63032909,138,YES,Central Square MLR Stop,6141.059324,Sydney - Haymarket - The Rocks
139,661278.1732,1049835.898,1434412.626,0.00010299,139,YES,Parker St and Hay St,4997.040586,Sydney - Haymarket - The Rocks
140,617134.8287,1012511.968,1419902.466,0.00010299,140,YES,Sydney CBD_Sydney Central Building,10195.43286,Sydney - Haymarket - The Rocks
141,588073.7831,989478.985,1380284.493,15.2984667,141,YES,Ultimo St and Hay St,8099.011109,Sydney - Haymarket - The Rocks
142,654730.7362,1026039.214,1431011.374,365.1748832,142,YES,Ultimo St and George St,22076.00184,Sydney - Haymarket - The Rocks
143,691644.6044,1077478.195,1464323.018,0.00010299,143,YES,Sydney CBD_McKell Building,6937.284639,Sydney - Haymarket - The Rocks
144,589337.8661,985828.5724,1391643.945,1119.399227,144,YES,Sydney TAFE,26313.20257,Sydney - Haymarket - The Rocks
145,695087.511,1091212.442,1467470.861,56.6822071,145,YES,Rawson St and Pitt St,14492.18868,Sydney - Haymarket - The Rocks
146,757147.877,1204923.44,1577093.343,140.1721887,146,YES,Central Station,133134.5415,Sydney - Haymarket - The Rocks
147,16745.5369,436501.7124,792492.2998,0.00010299,147,YES,Goat Island,64184.28731,Sydney - Haymarket - The Rocks
148,83546.30351,477526.9026,849571.4291,0.00010299,148,YES,Fort Denison,4123.15218,Sydney - Haymarket - The Rocks
149,528047.9274,949631.4523,1389819.671,802.8836932,149,YES,Sydney CBD_Jenkins St,17113.30218,Sydney - Haymarket - The Rocks
150,521584.0769,922666.4151,1347281.102,0.00010299,150,YES,Sydney CBD_King St Wharf_Southern End,12229.09607,Sydney - Haymarket - The Rocks
151,432159.6406,801522.9676,1262048.704,401.8165556,151,YES,Pyrmont_Darling Island,112076.02,Pyrmont - Ultimo
152,407131.117,731423.6395,1185115.684,3737.743639,152,YES,John St Square MLR,190243.6129,Pyrmont - Ultimo
153,478992.022,891439.9584,1314338.637,1510.146795,153,YES,Fish Markets MLR,170909.7133,Pyrmont - Ultimo
154,577520.0185,1000663.858,1434643.585,1559.560076,154,YES,Hardwood St,35693.56715,Pyrmont - Ultimo
155,507464.4423,905013.2495,1342365.593,943.8032282,155,YES,Experiment St,26340.36787,Pyrmont - Ultimo
156,461071.7162,851750.3766,1281744.27,3633.875283,156,YES,Wentworth Park MLR,128912.9083,Pyrmont - Ultimo
157,428680.8886,790912.8273,1200485.161,3800.730356,157,YES,Powerhouse Museum Ultimo,216002.2913,Pyrmont - Ultimo
158,402037.0128,813082.6189,1189368.718,3283.296511,158,YES,Broadway Shopping Centre_Glebe_Mountain St and Small St,127790.3181,Pyrmont - Ultimo
159,491875.3943,844019.1415,1236645.587,1500.507026,159,YES,UTS_Ultimo_West,186450.6843,Pyrmont - Ultimo
160,552867.9127,932969.7093,1329881.036,875.2958609,160,YES,ABC Ultimo Centre,24653.01667,Pyrmont - Ultimo
161,676738.405,1172954.585,1559221.161,106.3106535,161,YES,Sydney CBD_Perpetual Trustee Building,13745.71999,Sydney - Haymarket - The Rocks
162,664079.1875,1125072.894,1518312.091,156.4057365,162,YES,Sydney CBD_Myer Building,10138.71448,Sydney - Haymarket - The Rocks
163,102828.5062,572403.4644,956857.344,4206.023084,163,YES,Garden Island,381186.0623,Potts Point - Woolloomooloo
164,245372.5065,637800.9637,1051222.359,400.996756,164,YES,The Finger Wharf Apartments,52090.21364,Potts Point - Woolloomooloo
165,394722.2434,752523.5449,1184271.48,1920.097246,165,YES,Woolloomooloo_Dowling St and Nesbitt St,151331.1847,Potts Point - Woolloomooloo
166,277078.3322,675012.2709,1074091.055,1941.237516,166,YES,St Vincents Catholic College,86089.02352,Potts Point - Woolloomooloo
167,185414.2069,611072.9293,1010780.121,3317.857257,167,YES,Elizabeth Bay House,170159.0173,Potts Point - Woolloomooloo
168,548999.2747,926535.1315,1321189.67,962.3629579,168,YES,Cook and Phillip Park,91441.36857,Potts Point - Woolloomooloo
169,477002.7311,850222.6832,1243095.91,988.023129,169,YES,East Sydney High School,84997.09303,Potts Point - Woolloomooloo
170,489271.7854,865039.95,1252649.847,1398.124242,170,YES,Kings Cross Station,102648.539,Potts Point - Woolloomooloo
171,532755.7931,914735.3845,1307230.715,2755.475013,171,YES,Kingsgate Shopping Centre,99450.84371,Potts Point - Woolloomooloo
172,450180.6451,796820.1532,1218190.401,855.8816531,172,YES,El Alamein Fountain,32089.49261,Potts Point - Woolloomooloo
173,320642.5594,693439.7548,1105440.715,4026.921145,173,YES,St Luke's Hospital,205467.0947,Potts Point - Woolloomooloo
174,648546.1624,1120177.749,1525823.693,0.00010299,174,YES,Sydney CBD_Sky Garden,8448.473521,Sydney - Haymarket - The Rocks
175,481084.4472,837568.9292,1231243.819,416.7384014,175,YES,National Art School,54079.37649,Darlinghurst
176,586009.4383,969485.7691,1359123.677,396.9347117,176,YES,Australian Museum Darlinghurst,44556.35581,Darlinghurst
177,614430.5337,957222.2668,1354775.619,431.3345821,177,YES,Darlinghurst_College La and Francis St,7837.562081,Darlinghurst
178,543579.9625,917518.4873,1290791.063,1694.388197,178,YES,SCEGGS_Darlinghurst,150101.8937,Darlinghurst
179,494666.2238,861392.5608,1253545.373,2088.573095,179,YES,Darlinghurst Rd and William St,103746.9977,Darlinghurst
180,388003.5332,750599.9176,1150846.422,3215.932292,180,YES,Belvedere Bridge Darlinghurst,195724.3838,Darlinghurst
181,554074.3813,931861.7798,1339014.67,154.03312,181,YES,Marriott Hotel,8356.217782,Darlinghurst
182,520149.024,885604.8568,1250715.973,1785.965084,182,YES,St Vincent's Caritas Centre,96565.14795,Darlinghurst
183,419907.2677,810270.2464,1214547.095,559.8478427,183,YES,St Vincent's Hospital,109892.8645,Darlinghurst
184,531156.7638,885742.2654,1255293.19,733.0218813,184,YES,Darlinghurst_Little Oxford St and Crown St,37771.28775,Darlinghurst
185,441353.1774,838850.5736,1224997.732,765.2307928,185,YES,Paddington_Flinders St and Taylor St,46879.10725,Darlinghurst
186,404581.5077,715590.8891,1179532.991,1401.717228,186,YES,Darling Island_Pyremont Park,142837.3689,Pyrmont - Ultimo
187,531248.2825,944944.0027,1370307.117,463.5074394,187,YES,City Star Casino,126462.5923,Pyrmont - Ultimo
188,579759.6883,939626.6177,1342467.592,2082.78879,188,YES,Oxford Square,47579.91999,Surry Hills
189,573563.6181,956348.8359,1342688.805,335.5002462,189,YES,Goulburn St and Brisbane St,29150.99879,Surry Hills
190,532768.243,896551.1505,1282580.731,18.65157149,190,YES,Sydney Police Centre,30316.65012,Surry Hills
191,514073.0498,876823.6036,1258174.603,276.4288708,191,YES,Darlinghurst_Lower Darling St,10865.46848,Surry Hills
192,643873.6323,1009040.707,1429353.198,779.0516504,192,YES,Campbell St and Mary St,27883.46256,Surry Hills
193,539487.0398,942763.6354,1335857.376,1397.851554,193,YES,Campbell St and Riley St,87823.02853,Surry Hills
194,745287.2469,1133185.816,1511271.585,0.058064883,194,YES,Centennial Plaza,19079.8743,Surry Hills
195,617195.2054,1004056.251,1428525.737,768.4921023,195,YES,Albion St and Riley St,61938.17188,Surry Hills
196,439019.6337,855608.0319,1265290.149,2570.008504,196,YES,Albion St and Flinders St,200637.2489,Surry Hills
197,744884.9369,1145572.598,1526475.977,596.508066,197,YES,United Dental Hospital Of Sydney,48153.17301,Surry Hills
198,608295.5029,994672.0501,1422400.842,1190.290257,198,YES,News Ltd,107285.5227,Surry Hills
199,419798.5096,855397.5355,1259111.142,2572.946921,199,YES,Bourke St and Arthur St,207204.5252,Surry Hills
200,629711.4435,1023370.822,1415433.082,19.59265067,200,YES,Prince Alfred Park,90732.58601,Surry Hills
201,580883.2917,979167.3079,1382153.259,3319.60921,201,YES,Strawberry Hills_Elizabeth St and Belvoir St,190652.9734,Surry Hills
202,415699.413,860464.3718,1263096.259,1818.221543,202,YES,Bourke St and Mort St,154619.2077,Surry Hills
205,563691.9419,944485.761,1333460.08,1176.268199,205,YES,Lee St_Sydney,32822.56965,Redfern - Chippendale
206,470594.7031,867482.1437,1279752.265,3788.913002,206,YES,CUB Site Chippendale_North,67788.95451,Redfern - Chippendale
207,334235.2435,829655.3863,1261879.846,3293.28886,207,YES,Chippendale,187159.211,Redfern - Chippendale
208,639296.0059,1086530.559,1474526.387,0.000106658,208,YES,Central Station_South,98898.45908,Redfern - Chippendale
209,416643.865,899219.82,1331963.481,888.3124827,209,YES,CUB Site Chippendale_South,76395.8509,Redfern - Chippendale
210,590325.7246,1058987.725,1471351.31,1051.113321,210,YES,Darlington_Everleigh St and Hudson St,82407.67615,Redfern - Chippendale
